testkevin0	Unassigned;Other
testkevin216	k__Bacteria;p__Verrucomicrobia;Other;Other
testkevin217	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Puniceicoccales
testkevin218	k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]
testkevin219	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales
testkevin220	k__Bacteria;p__WS3;c__PRR-12;o__Sediment-1
testkevin221	k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales
testkevin222	Unassigned;Other;Other;Other;Other
testkevin223	k__Archaea;Other;Other;Other;Other
testkevin224	k__Archaea;p__Crenarchaeota;Other;Other;Other
testkevin225	k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__
testkevin226	k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26;f__
testkevin227	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae
testkevin228	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae
testkevin229	k__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae
testkevin230	k__Archaea;p__Euryarchaeota;Other;Other;Other
testkevin231	k__Archaea;p__Euryarchaeota;c__ANME-1;o__;f__
testkevin232	k__Archaea;p__Euryarchaeota;c__DSEG;o__DHVE3;f__
testkevin233	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae
testkevin234	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;Other
testkevin235	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae
testkevin236	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae
testkevin237	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2D
testkevin238	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae
testkevin239	k__Bacteria;Other;Other;Other;Other
testkevin240	k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;Other;Other
testkevin241	k__Bacteria;p__Actinobacteria;Other;Other;Other
testkevin242	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;Other
testkevin243	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;Other
testkevin244	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae
testkevin245	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae
testkevin246	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae
testkevin247	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dietziaceae
testkevin248	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae
testkevin249	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Promicromonosporaceae
testkevin250	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae
testkevin251	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae
